word,count
bats,4
salt,2
pot,1
standing,1
some,51
paws,4
quiver,1
promised,1
manner,2
except,4
creatures,10
waving,5
lonely,2
trembled,2
nonsense,7
peering,1
terribly,1
often,5
managed,4
butter,9
throwing,2
life,12
moral,8
whisper,3
stretched,2
whole,13
brought,3
proved,2
taught,4
bee,1
shyly,1
arrum,1
checked,3
concluded,2
skimming,1
very,144
we,34
swallowing,1
upstairs,1
warning,1
ceiling,1
kill,1
learn,7
2011],1
growls,1
delightful,2
sigh,4
pink,1
diligently,1
perhaps,17
flamingoes,2
animal,2
poker,1
axis,1
lower,1
lap,2
move,3
and,873
sorry,1
wondered,1
beheading,1
cross,3
sometimes,5
argument,4
ordering,2
wriggling,1
indeed,16
nursing,3
est,1
upon,26
tumbling,2
evidence,7
11],1
passage,4
which,49
delight,3
jurymen,4
verse,4
less,4
lobster,7
decided,3
afford,1
acceptance,1
dead,4
refreshments,1
moon,1
whiles,1
distraction,1
passion,3
key,9
geography,1
year,2
stay,5
woman,2
tails,3
world,7
read,11
hide,1
like,85
truthful,1
purring,2
never,48
altered,1
plates,2
pleaded,3
heard,30
fits,1
dates,1
way,56
tree,8
dodo,13
also,2
ravens,1
closer,1
master,4
executions,2
elbow,3
grazed,1
cherry,1
consented,1
played,1
wonder,18
fish,8
sobs,4
teaching,1
birds,10
garden,16
grave,3
smiled,2
dears,3
deep,7
immediate,1
whom,1
prevent,1
might,28
custody,2
hedgehog,7
saucepans,1
called,15
respectable,1
lit,1
treacle,7
happy,1
whenever,1
across,5
driest,1
full,6
emphasis,1
mary,4
meat,1
tell,32
slippery,1
nodded,1
exclamation,1
involved,1
remembered,5
irritated,1
sisters,2
beasts,2
foot,10
spectacles,3
audibly,1
muttering,3
sticks,1
creep,1
gardeners,8
shrieked,1
hearth,1
thatched,1
earnestly,2
lost,3
pope,1
people,13
license,1
tomorrow,1
frontispiece,1
fancying,1
quietly,5
screamed,4
than,24
breath,4
was,357
exactly,8
proud,2
yes,13
yawning,2
singers,2
majesty,12
stood,7
natured,1
patiently,2
i,543
terror,1
date,2
ignorant,1
dreadfully,6
party,10
shrink,1
dreadful,2
own,10
sell,2
leading,1
modern,1
fur,3
invited,2
nine,5
murdering,1
meekly,2
talk,14
elbows,1
kind,7
farmer,1
marched,1
telescope,3
knows,2
be,148
panther,3
educations,1
ringlets,2
learning,2
procession,5
loud,6
desperately,1
joys,1
with,183
singing,2
unless,2
beheaded,3
timidly,9
exact,1
lovely,2
series,1
waiting,9
bit,16
chimney,6
frowning,4
instantly,5
stupidly,1
raised,2
sides,4
kid,5
is,109
dreaming,1
uneasy,1
peeping,1
shan,6
boon,1
towards,1
puzzle,1
how,68
shrinking,4
shilling,1
barley,1
fork,1
brush,1
stupidest,1
shrill,5
buttons,1
tray,1
favourite,1
forgot,2
red,3
www,1
splash,1
youth,6
tortoise,3
alice,403
welcome,1
england,1
somewhere,3
downward,1
child,11
executioner,6
bank,3
teacups,2
skirt,1
eyes,29
players,4
pine,1
chain,1
bawled,1
startled,2
soldiers,10
fainting,1
shake,1
paint,1
accident,2
lizard,6
knot,2
suppress,1
small,10
rats,1
dormouse,40
drawing,1
feebly,1
gloves,11
hard,8
apples,2
next,30
sizes,1
yer,4
argued,1
ask,11
ago,2
xi,1
derision,1
footsteps,2
held,4
farm,1
hoarsely,1
clearly,1
game,13
trouble,6
nasty,1
haven,8
yourself,10
above,3
sir,7
occasional,1
shock,1
teases,1
oblong,1
re,39
altogether,5
sour,1
vegetable,1
company,1
clock,5
his,96
sneezes,2
comes,2
processions,1
resource,1
it,598
fairly,1
mark,3
jurors,4
they,152
classics,1
right,32
unfolded,2
tricks,1
dropping,1
smile,2
years,1
sun,2
rosetree,1
mabel,4
smiling,2
trying,14
